Table 1
Timestamp,First and Last Name,City,State,Submitted by:,Comments:,,Sheet,Hyperlink,Province,Country,Submitted By:,Submitted by,Comments
,Nicole Roberson,Fort Collins,Colorado,Patient submitted,,,United States,https://womensclinicnoco.com/team-member/nicole-roberson/,,,,,
,Claire Edelman,Fort Collins,Colorado,,,,United States,https://womensclinicnoco.com/team-member/claire-edelman/,,,,,
,Tara Hoff,Fort Collins,Colorado,Patient submitted,,,United States,https://womensclinicnoco.com/team-member/tara-hoff/,,,,,
,Morgan Wolfe,Fort Collins,Colorado,Patient submitted,"LGBTQ+ friendly, helps those seeking gender affirming care ",,United States,https://womensclinicnoco.com/team-member/dr-morgan-wolfe-jr/,,,,,
,John Bragg,Fort Collins,Colorado,Patient submitted,,,United States,https://womensclinicnoco.com/team-member/john-bragg/,,,,,
,Heather Bourkovski,Grand Junction,Colorado,,,,United States,https://womenshealthcaregj.com/dt_team/heather-shannon-levh-bourkovski-d-o/,,,,,
,Joshua Pearson,Grand Junction,Colorado,Patient submitted ,,,United States,https://womenshealthcaregj.com/dt_team/joshua-d-pearson-d-o/,,,,,
,Kara Danner,Grand Junction,Colorado,Patient submitted ,,,United States,https://doctors.sclhealth.org/provider/Kara+A.+Danner/1617312,,,,,
,Lori Wittman,Grand Junction,Colorado,Patient submitted ,,,United States,https://womenshealthcaregj.com/dt_team/lori-m-wittman/,,,,,
,Courtney Roberts,Greeley,Colorado,,,,United States,https://www.uchealth.org/provider/courtney-roberts-do-ob-gyn/,,,,,
,Helen Dunnington,Greeley,Colorado,,,,United States,https://www.uchealth.org/provider/helen-dunnington-md/,,,,,
,Kate Petty,Greeley,Colorado,,,,United States,https://www.uchealth.org/provider/kate-petty-md/,,,,,
,Gerald Blake McLaughlin,Greeley,Colorado,Patient submitted,,,United States,https://healthy.kaiserpermanente.org/colorado/clinicians/gerald-mclaughlin-9095067,,,,,
,Colleen Foos,Greeley,Colorado,Patient submitted,,,United States,https://doctors.bannerhealth.com/provider/Colleen+Foos/1018181,,,,,
,Lisa Wynn,Highland's Ranch,Colorado,Patient submitted,,,United States,https://www.uchealth.org/provider/lisa-wynn-md/,,,,,
,Brandon Maddy ,Highlands Ranch,Colorado,,,,United States,https://www.cumedicine.us/providers/ob-gyn/brandon-maddy,,,,,
,Whitney L. Giamberardino,Highlands Ranch,Colorado,,,,United States,https://www.cumedicine.us/providers/ob-gyn/Whitney-Giamberardino,,,,,
,Colleen Begley,LaFayette,Colorado,,,,United States,https://whg-pc.com/begley-colleen-md/,,,,,
,Kerry E. Shea,Lafayette,Colorado,,,,United States,https://healthy.kaiserpermanente.org/colorado/clinicians/kerry-shea-8877694,,,,,
,Kim Van Scriver,Littleton,Colorado,,,,United States,https://southdenverobgyn.com/kimberly-van-scriver/,,,,,
YYYY-01-DD 22:01:SS,Rania Khan,Littleton ,Colorado,,,,United States,https://www.centura.org/provider-search/rania-khan-do,,,,,
,Brian Nelson ,Longmount,Colorado,Patient submitted ,,,United States,https://www.uchealth.org/provider/brian-s-nelson-md-obstetrics-and-gynecology-female-pelvic-medicine-and-reconstructive-surgery/,,,,,
,Hannah Fanucchi,Longmount,Colorado,Patient submitted ,,,United States,https://www.uchealth.org/provider/hannah-fanucchi-md/,,,,,
,B. Alison Schultz,Louisville,Colorado,,,,United States,https://www.bouldermedicalcenter.com/medical-providers/b-alison-schultz-do/obstetrics-and-gynecology/,,,,,
,Long P. Huynh,Louisville,Colorado,,,,United States,https://www.bouldermedicalcenter.com/medical-providers/long-huynh-md/obstetrics-and-gynecology/,,,,,
,Faye E. Sundahl ,Louisville ,Colorado,Patient submitted,,,United States,https://www.adventhealth.com/find-doctor/doctor/elli-sundahl-do-1619175361,,,,,
YYYY-27-DD 20:27:SS,Erinn Croco,Loveland,Colorado,,,,United States,,,,,,
,Sara Vrabec,Loveland,Colorado,,,,United States,https://www.uchealth.org/provider/sara-vrabec-md/,,,,,
,Thomas Englert,Loveland,Colorado,Patient submitted,,,United States,https://doctors.bannerhealth.com/provider/Thomas+Englert/448279,,,,,
,Jennifer Reeve,Loveland,Colorado,,,,United States,https://womensclinicnoco.com/team-member/jennifer-reeve/,,,,,
,Brittany Poeschl ,Loveland ,Colorado,Patient submitted,"LGBTQ+ friendly, provides gender-affirming care, trauma informed & emphasizes ""your body, your choice"" ",,United States,https://www.uchealth.org/provider/brittany-poeschl-md/,,,,,
,Ashley Allen,Montrose,Colorado,,LGBTQ+ friendly,,United States,https://montrosehealth.com/providers/ashley-allen/,,,,,
YYYY-48-DD 00:48:SS,Jillian Tyler,Parker,Colorado,,,,United States,https://www.centura.org/provider-search/jillian-tyler-md,,,,,
,Amanda Hittson,Parker,Colorado,Patient submitted,,,United States,https://www.adventhealth.com/find-doctor/doctor/amanda-hittson-do-1376958124?listFilters=query%3Dhittson%26cat%3Dglobal,,,,,
,Danyel Baker,Pueblo,Colorado,,,,United States,https://puebloassociatesinwomenshealthcare.com/,,,,,
,Rachel Niemet,Pueblo,Colorado,Patient submitted ,,,United States,https://www.parkviewmc.com/doctor/profile/rachel-niemet/,,,,,
,Jennifer John ,Pueblo,Colorado,,LGBTQ+ friendly ,,United States,https://www.parkviewmc.com/doctor/profile/jennifer-john/,,,,,
,Tiffany Rhodes,Salida,Colorado,,,,United States,https://www.hrrmc.com/find-a-provider/tiffany-rhodes-md-facog/,,,,,
,Jeffrey Chamberlain,Steamboat Springs,Colorado,Patient submitted,,,United States,https://www.uchealth.org/provider/jeffrey-chamberlain-md/,,,,,
,Greta Brandstetter,Thornton,Colorado,Patient submitted ,,,United States,https://whg-pc.com/brandstetter-greta-md/,,,,,
,Hayley Thompson,Thornton,Colorado,,,,United States,https://doctors.intermountainhealth.org/provider/hayley-p-thompson/2729353?utm_campaign=gmb&utm_medium=organic&utm_source=local,,,,,
,Danika Forgach,Timnath,Colorado,,LGBTQ+ friendly,,United States,https://www.uchealth.org/provider/danika-forgach-md/,,,,,
,Stephanie Mager,Timnath,Colorado,,,,United States,https://www.uchealth.org/provider/stephanie-mager-md/,,,,,
,Dawn Owens Robinson ,Westminster,Colorado,,,,United States,https://www.adventhealth.com/find-doctor/doctor/dawn-owens-robinson-md-1174778575,,,,,
,Sara Robison,"Westminster, Erie",Colorado,,,,United States,https://www.adventhealth.com/find-doctor/doctor/sara-robison-do-1427441229,,,,,
,Colleen Mullin,"Westminster, Louisville",Colorado,Patient submitted ,,,United States,https://www.centura.org/provider-search/colleen-mullin-md,,,,,
,Jamie Stucker,Windsor,Colorado,,,,United States,https://www.uchealth.org/provider/jamie-stucker-md-obstetrics-and-gynecology/,,,,,
,Danielle Burkett,Windsor,Colorado,Patient submitted,,,United States,https://www.uchealth.org/provider/danielle-burkett-do/,,,,,
,Lydia Lormand ,Avon,Connecticut,Patient submitted ,,,United States,https://womenshealthct.com/practices/obgyn-and-midwifery-of-connecticut/providers/lydia-lormand-do-facog,,,,,
,Nicole Brzozowski,Danbury & Norwalk,Connecticut,,,,United States,https://learning.nuvancehealth.org/minimally-invasive-gynecologic-surgery-fellowship-faculty-2/,,,,,
,Valentine Edusa,Fairfield,Connecticut,Patient submitted ,,,United States,https://www.bridgeporthospital.org/physicians/valentine-edusa,,,,,
YYYY-22-DD 06:22:SS,Alexandre West,Farmington,Connecticut,,,,United States,https://facultydirectory.uchc.edu/profile?profileId=West-Alexandre,,,,,
,Shannon DeGroff,Farmington,Connecticut,,,,United States,https://facultydirectory.uchc.edu/profile?profileId=DeGroff-Shannon,,,,,
,Amanda B. Rostkowski,Hamden,Connecticut,,,,United States,https://www.womenshealthct.com/practices/comprehensive-gynecology-of-ct-formerly-fine-and-gillette/providers/amanda-rostkowski-md-phd/,,,,,
,Aziza Omrani,Manchester,Connecticut,Patient submitted ,,,United States,https://www.womenshealthct.com/practices/manchester-ob-gyn-associates/providers/aziza-omrani-md/,,,,,
,Lawrence Arky,Manchester,Connecticut,Patient submitted ,,,United States,https://www.womenshealthct.com/practices/manchester-ob-gyn-associates/providers/lawrence-m-arky-md/,,,,,
,Anne Bingham,Middletown,Connecticut,Patient submitted ,,,United States,https://middlesexhealth.org/find-a-doctor/anne-s-bingham-md,,,,,
YYYY-07-DD 20:07:SS,Danielle Finch,New Haven,Connecticut,,,,United States,https://ctcoastalobgyn.com/about-us/physicians/,,,,,
,Stef Parks,New London,Connecticut,,,,United States,https://coastalobgynmidwifery.com/stefanie-parks-md/,,,,,
,Mathew Brown,Norwich,Connecticut,Patient submitted,,,United States,https://backushospital.org/find-a-doctor/physician-detail?id=003j000000GD2otAAD,,,,,
,Devon Jacobson ,Putnam,Connecticut,Patient submitted ,,,United States,https://www.daykimball.org/about-day-kimball/medical-staff/Devon-Jacobson-MD/,,,,,
,Scott A. Vander Vennet,Shelton,Connecticut,Patient submitted,,,United States,https://gfp.griffinhealth.org/our-doctors/ob-gyn/scott-vander-vennet-md,,,,,
,Cathie Miller,Shelton,Connecticut,Patient submitted,,,United States,https://gfp.griffinhealth.org/our-doctors/ob-gyn/cathie-miller-cnm,,,,,
,Sarah Graceffa,South Windor & Glastonbury,Connecticut,Patient submitted ,,,United States,https://obgyneasternct.com/staff/graceffa/,,,,,
,Katie Riddle,South Windsor,Connecticut,,,,United States,https://obgyneasternct.com/staff/riddle/,,,,,
,Sarp Aksel,Stamford,Connecticut,,,,United States,http://www.coastalobgynct.com/sarp-aksel,,,,,
,Shieva Ghofrany,Stamford,Connecticut,,,,United States,https://www.coastalobgynct.com/shieva-ghofrany-md,,,,,
,Patrick Cahill,Stamford,Connecticut,,,,United States,https://www.coastalobgynct.com/patrick-j-cahill-do,,,,,
,Antonios Panagiotakis,Stamford,Connecticut,,,,United States,https://www.coastalobgynct.com/antonios-j-panagiotakis-do,,,,,
,Sarp Aksel,Stamford,Connecticut,,,,United States,https://www.coastalobgynct.com/sarp-aksel,,,,,
,Katlin M. Davitt,Trumbull,Connecticut,,"All female practice, LGBTQ+ friendly",,United States,https://womenshealthct.com/practices/womens-health-care-of-trumbull/providers/katlin-mcclenaghan-davitt-do/,,,,,
,Janet L. Vodra,Waterbury,Connecticut,,,,United States,https://www.waterburyhospital.org/providers/janet-l-vodra/,,,,,
,Michelle R. Taylor ,Middletown,Connecticut ,,,,United States,https://womenshealthct.com/practices/womens-center-of-southern-new-england/providers/michelle-r-taylor-md-facog,,,,,
,Christina Acocella ,New Britain,Connecticut ,Patient submitted,,,United States,https://womenshealthct.com/practices/new-britain-ob-gyn/providers/christina-e-acocella-md,,,,,
,Corey Teagarden,Torrington,Connecticut ,Patient submitted,,,United States,https://womenshealthct.com/practices/litchfield-county-ob-gyn/providers/corey-teagarden-md-facog/,,,,,
,Evan Friedman,Washington,DC,Patient submitted,,,United States,https://gwdocs.com/profile/evan-b-friedman,,,,,
,Dipti Kumar,Washington,DC,Patient submitted,,,United States,https://doctors.gwhospital.com/provider/dipti-kumar/2103040,,,,,
,Shannon M. Wentworth,Washington,DC,,LGBTQ+ & Trauma-informed care ,,United States,https://www.hufpp.com/fpp/doctors/profile/shannon-wentworth/?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,,,,,
,Rebecca Garbose,Washington,DC,,,,United States,https://www.advantiahealth.com/team/rebecca-garbose-md/,,,,,
,Larissa Guran,Washington ,DC,,,,United States,,,,,,
,Sylvester Booker,Washington ,DC,Patient submitted ,,,United States,https://www.md.com/doctor/sylvester-booker-md,,,,,
,Melissa McHale,Washington ,DC,Patient submitted,,,United States,https://pelvicrehabilitation.com/providers/melissa-mchale/,,,,,
,Ann Jacob ,Washington ,DC,,LGBTQ+ friendly,,United States,https://www.advantiahealth.com/team/ann-jacob-do/,,,,,
,Laura Moylan,Dover,Delaware,Patient submitted ,,,United States,https://dedicatedtowomenobgyn.com/provider/dr-moylan/,,,,,
,Mark-Anthony Umobi,Dover,Delaware,Patient submitted,,,United States,https://www.bayhealth.org/find-a-doctor/markanthony-c-umobi,,,,,
,Reiesha Graham,Milford,Delaware,,Call 302.424.6511,,United States,https://www.bayhealth.org/find-a-doctor/reiesha-graham,,,,,
,Melisa M. Edler,Milford,Delaware,Patient submitted,,,United States,https://www.bayhealth.org/find-a-doctor/melisa-m-edler,,,,,
,Victoria L. Martino,Newark,Delaware,,,,United States,https://doctors.christianacare.org/provider/Victoria+L.+Martino/2303978,,,,,
YYYY-53-DD 14:53:SS,Sarah Hall,Smyrna,Delaware,,,,United States,https://doctors.christianacare.org/provider/Sarah+A.+Hall/1601676?page=143&from=search-list,,,,,
,Ayoka Adams ,Wilmington,Delaware,Patient submitted,,,United States,https://doctors.christianacare.org/provider/Ayoka+Adams/2303969,,,,,
,Jessica Apel ,Wilmington,Delaware,Patient submitted ,,,United States,https://wlwobgyn.com/meet-jessica-apel-d-o/,,,,,
,Alexis Marie Davis,Wilmington,Delaware,,,,United States,https://doctors.christianacare.org/provider/alexis-marie-davis/2985627,,,,,
,Kirsten Smith ,Wilmington,Delaware ,Patient submitted,,,United States,https://wlwobgyn.com/meet-kirsten-m-smith-m-d/,,,,,
,Ashley Hodges,Wilmington ,Delaware ,,,,United States,https://lma-llc.com/provider/ashley-hodges/,,,,,
,Natasha Spencer,Altamonte Springs,Florida,Patient submitted,,,United States,https://www.orlandohealth.com/physician-finder/natasha-l-spencer-md,,,,,
,Max Black,Boynton Beach,Florida,,,,United States,http://www.bocababesobgyn.com/providers,,,,,
,Marion Pandiscio,Bradenton,Florida,Patient submitted,,,United States,https://manateegynecology.com/marion-pandiscio,,,,,
,Nicole McConnell,Brandon,Florida,,,,United States,https://www.womenscareobgyn.com/providers/nicole-mcconnell-md,,,,,
,Michael Stine Jr. ,Brandon,Florida,Patient submitted,,,United States,https://www.toplinemd.com/advanced-gynecology-of-tampa-bay/michael-stine/,,,,,
,Nay G. Hoche,Brooksville,Florida,Patient submitted,,,United States,https://health.usnews.com/doctors/nay-hoche-706898,,,,,
,Michele Johnson,Celebration,Florida,,,,United States,https://celebrationobgyn.com/michele-johnson-md-facog/,,,,,
YYYY-10-DD 17:10:SS,Alexis Lipton ,Clearwater,Florida,,,,United States,http://aplaceforwomen.com/our-physicians/,,,,,
,Luke Ying,"Clearwater, Trinity",Florida,,,,United States,https://www.womenscareobgyn.com/providers/luke-ying-md,,,,,
,Vanessa Dance,Cocoa Beach,Florida,Patient submitted,,,United States,https://providers.hf.org/provider/Vanessa+Dance/928814,,,,,
,Jessenia Magua,Coral Springs,Florida,,,,United States,https://www.toplinemd.com/comprehensive-ob-gyn/jessenia-magua/,,,,,
,Jose Luis Terrazas,Coral Springs,Florida,Patient submitted,,,United States,https://www.hcafloridahealthcare.com/physicians/profile/Dr-Jose-Luis-Terrazas-MD,,,,,
YYYY-34-DD 19:34:SS,Tali Rombro,Coral Springs ,Florida,,,,United States,https://www.omegawomenscare.com/index.php/physicians,,,,,
,Gregory Coates,Crestview,Florida,Patient submitted ,,,United States,https://www.northokaloosaphysiciangroup.com/doctors-providers/coates-gregory-md-4216,,,,,
,Jacob Lassiter,Crestview,Florida,Patient submitted,,,United States,https://www.northokaloosaphysiciangroup.com/doctors-providers/lassiter-jacob-md-7170,,,,,
,Maria Villa,Dade City,Florida,Patient submitted ,,,United States,https://www.adventhealth.com/find-doctor/doctor/maria-villa-md-1356390868,,,,,
,Kurt Christopher,Fort Lauderdale,Florida,,,,United States,https://www.browardhealth.org/doctor-data/imported/631264,,,,,
,Michael Benjamin,Fort Lauderdale,Florida,,,,United States,https://drbenjamin.com/about-us/,,,,,
,Eric Feinberg,Fort Myers,Florida,Patient submitted ,,,United States,https://www.leehealth.org/find-a-doctor/eric-feinberg,,,,,
,Natasha Bower,Fort Myers,Florida,Patient submitted ,,,United States,https://www.pwcswfl.com/people/natasha-bower-md-facog,,,,,
,Richard L. Bloy,Fort Myers,Florida,Patient submitted,,,United States,https://www.contemporaryhealthcenter.com/our-team/,,,,,
,Donald W. Whitaker,Fort Walton Beach,Florida,Patient submitted,,,United States,https://whitakerobgyn.com/,,,,,
YYYY-31-DD 12:31:SS,Samaris Corona,Ft. Myers,Florida,,,,United States,https://www.pwcswfl.com/people/samaris-corona-md,,,,,
,Erika Wert,Gainesville,Florida,Patient submitted,,,United States,https://obgyn.ufl.edu/education/residency/meet-our-residents-2/erika-wert/,,,,,
,Jesse Kane,Gainesville,Florida,Patient submitted,,,United States,https://ufhealth.org/jesse-kane,,,,,
,Joseph Lobst,Gainesville,Florida,Patient submitted,,,United States,https://www.allaboutwomenmd.com/staff-joseph.html,,,,,
,Kay Roussos-Ross,Gainesville,Florida,,,,United States,https://obgyn.ufl.edu/about-us/faculty/dikea-kay-roussos-ross-m-d/,,,,,
,Tina O’Shea,Gainesville,Florida,Patient submitted,,,United States,https://obgyn.ufl.edu/profile/o-shea-tina/,,,,,
,Ann Hatfield,Gainesville,Florida,Patient submitted ,,,United States,https://www.cwhfl.com/dr-ann-hatfield-md-obgyn-cwh,,,,,
YYYY-28-DD 13:28:SS,Christina Adams,Jacksonville,Florida,,,,United States,https://www.baptistjax.com/doctors/obstetrician-and-gynecologist/dr-christina-adams-md,,,,,
,Deanna McCullough,Jacksonville,Florida,,,,United States,https://ufhealthjax.org/doctors/2850/deanna-mccullough/,,,,,
,Nakita Wilkes,Jacksonville,Florida,Patient submitted ,,,United States,https://www.srbobgyn.com/nikita-wilkes-md,,,,,
,Sarah Campbell Austin,Jacksonville,Florida,,,,United States,https://www.womenscareobgyn.com/providers/sarah-c-austin-md,,,,,
,Brent Seibel ,Jacksonville,Florida,Patient submitted ,,,United States,https://ufhealthjax.org/doctors/brent-seibel,,,,,
,Sarah C. Austin,Jacksonville,Florida,,,,United States,https://www.womenscareobgyn.com/providers/sarah-c-austin-md,,,,,
,Erika Glas,Jacksonville ,Florida,Patient submitted ,,,United States,https://www.baptistjax.com/doctors/obstetrician-and-gynecologist/dr-erika-glas-do,,,,,
,Naicie Marrow,Jacksonville ,Florida,,,,United States,https://www.fullcirclejax.com/doctor/naicie-marrow-md-facog,,,,,
,Laura Alsina-Sanchez,Jupiter,Florida,Patient submitted ,,,United States,https://jupiterobgyn.com/laura-alsina-sanchez/,,,,,
,Jessica Covington,Lake Mary,Florida,Patient submitted,,,United States,https://www.adventhealth.com/find-doctor/doctor/jessica-monique-covington-md-1487072609,,,,,
,Edmund C. Boulting,Lake Mary,Florida,Patient submitted,,,United States,https://www.advancedwomens.com/provider/edmund-c-boulting-md-facog,,,,,
,John Ellington,Lakeland,Florida,Patient submitted,,,United States,https://www.watsonclinic.com/physicians/john-r-ellington-jr-.html,,,,,
,Terrika C. Jones,Lakeland,Florida,Patient submitted,,,United States,https://doctors.mylrh.org/details/1533,,,,,
,Vanessa J. Bennett Hux,Lakeland,Florida,Patient submitted,,,United States,https://doctors.mylrh.org/LRHPhysicianGroup/details/1633/vanessa-hux-obstetrics_gynecology-lakeland,,,,,
,Richard J. Cardosi,Lakeland,Florida,Patient submitted,,,United States,https://www.watsonclinic.com/physicians/richard-j-cardosi.html,,,,,
,Bryna A. Peplinski ,Lakeland ,Florida,,,,United States,https://doctors.mylrh.org/lrhphysiciangroup/details/1363/bryna-peplinski-obstetrics_gynecology-lakeland,,,,,
,Matt Wollenschlaeger,Maitland,Florida,,,,United States,https://www.premierob-gyn.com/provider/matthew-wollenschlaeger-md-facog,,,,,
,Allison Bradley-Amore,Maitland/Oviedo,Florida,,LGBTQIA+ friendly,,United States,https://www.premierob-gyn.com/provider/allison-amore-do-facoog,,,,,
,Dorothy Bestoyong,Maitland/Winter Park,Florida,,,,United States,https://www.premierob-gyn.com/provider/dorothy-bestoyong-do?,,,,,
,Sara Elhusein,Melbourne,Florida,,,,United States,https://hibiscuswc.com/our-team/physicians.html,,,,,
,Nefertari Esemuede,Merritt Island,Florida,Patient submitted,,,United States,https://providers.steward.org/s/affiliation/a0d5Y00001WQyfgQAD/nefertari-esemuede-255-fortenberry-road-suite-a1-merritt-island-fl-32952-stewa?utm_keyword=1538375068&utm_campaign=yext-listing&utm_medium=local&utm_source=gmb,,,,,
,Jamell Walker,Miami,Florida,,,,United States,https://jacksonhealth.org/find-a-doctor/jamell-walker/,,,,,
,Joanna Bedell,Miami,Florida,,,,United States,https://www.toplinemd.com/new-age-womens-health/joanna-bedell/,,,,,
,Karen Salazar Valdes,Miami,Florida,,,,United States,https://www.toplinemd.com/femcare-obgyn/karen-salazar-valdes/,,,,,
,Sarah Bedell,Miami,Florida,,,,United States,https://www.toplinemd.com/new-age-womens-health/sarah-bedell/,,,,,
YYYY-21-DD 22:21:SS,Tanya Gonzalez,Miami,Florida,,,,United States,https://www.msmc.com/doctor/tanya-m-gonzalez/,,,,,
,Victoria Bedell,Miami,Florida,,,,United States,https://www.toplinemd.com/new-age-womens-health/victoria-bedell/,,,,,
,Elizabeth Gonzalez,Miramar,Florida,,,,United States,https://www.toplinemd.com/complete-womens-care/elizabeth-gonzalez/,,,,,
,Richard Strathmann,Naples,Florida,Patient submitted,,,United States,https://www.whpnaples.com/provider/richard-strathmann-md-facog,,,,,
,Steven Shephard,Naples,Florida,Patient submitted,,,United States,https://www.awpnaples.com/portfolio-items/steven-shephard-md/,,,,,
,Wendelly Vasquez,Ocoee,Florida,Patient submitted,,,United States,https://www.totalwomanhealth.com/meet-our-providers,,,,,
,Kathryn M. Eraso,Orange Park,Florida,Patient submitted,,,United States,https://ufhealthjax.org/doctors/3225/kathryn-eraso/,,,,,
,Courtney Paradise,Orlando,Florida,Patient submitted,"LGBTQ+ friendly, wonderful for recognizing and HELPING women in unsafe home situations",,United States,https://www.winniepalmerhospital.com/physician-finder/courtney-marie-paradise-md,,,,,
,Temitope Oshodi,Orlando,Florida,Patient submitted,,,United States,https://wcorlando.com/meet-our-providers/temitope-oshodi-md/,,,,,
,Sean McCarty,Orlando,Florida,Patient submitted,,,United States,https://www.wcorlando.com/provider/sean-mccarty-do,,,,,
,Puja Kalidas,Orlando,Florida,Patient submitted,,,United States,https://www.healthgrades.com/physician/dr-puja-kalidas-3lr4r,,,,,
,Ameigh Worley,Orlando,Florida,Patient submitted,,,United States,https://www.adventhealth.com/adventhealth-women/find-doctor/doctor/ameigh-worley-md-1336466911,,,,,
,David M. Goodman ,Orlando,Florida,Patient submitted,,,United States,https://www.orlandohealth.com/physician-finder/david-m-goodman-md,,,,,
,Megan Johnson,Orlando ,Florida,Patient submitted,,,United States,https://www.womenscareobgyn.com/providers/megan-johnson-md,,,,,
,Margaret Capobianco,Orlando-Winter Park & Oviedo,Florida,Patient submitted ,"LGBTQ+ friendly, speaks Spanish",,United States,https://www.womenscareobgyn.com/providers/margaret-capobianco-md,,,,,
,Katie Webb,Panama City,Florida,Patient submitted,,,United States,https://www.aawob-gyn.com/provider/katie-webb-do,,,,,
,Jacob Martin,Panama City,Florida,Patient submitted,,,United States,https://emeraldcoastobgyn.com/doctors/jacob-martin/,,,,,
,Heather Pate,Panama City,Florida,,,,United States,https://emeraldcoastobgyn.com/doctors/heather-pate/,,,,,
,Julie DeCesare,Pensacola,Florida,Patient submitted ,,,United States,https://www.hcafloridaphysicians.com/physicians/profile/Dr-Julie-A-Zemaitis-DeCesare-MD,,,,,
,Lindsey M. McAlpin,Pensacola,Florida,,,,United States,https://healthcare.ascension.org/doctors/1497194872/lindsey-m-mcalpin-pensacola-fl,,,,,
,Regina McCutcheon,Pensacola,Florida,Patient submitted,,,United States,https://www.ebaptisthealthcare.org/BaptistMedicalGroup/regina-mccutcheon-md,,,,,
,Rachel Astles,Pensacola,Florida,Patient submitted,,,United States,https://www.hcafloridahealthcare.com/physicians/profile/Dr-Rachel-Astles-MD,,,,,
,Ruben Guzman,Port Charlotte,Florida,Patient submitted,,,United States,https://www.shorepointmedicalgroup.com/doctors-providers/guzman-ruben-md-facog-5767,,,,,
,Stephanie Finley ,Port Charlotte ,Florida,,,,United States,https://peacefulharborgyn.com/about-us/,,,,,
,Lyvie-Sara Sylvestre,Port Charlotte & Sarasota,Florida,Patient submitted,,,United States,https://www.sarasotagynob.com/provider/lyvie-sara-sylvestre-md,,,,,
,Jennifer D’Abarno,"Punta Gorda, North Point",Florida,Patient submitted,,,United States,https://www.shorepointmedicalgroup.com/doctors-providers/dabarno-jennifer-md-facog-5764,,,,,
,Jenny Lichon,Sarasota,Florida,,LGBTQ+ friendly,,United States,https://www.sworcare.com/provider/jennifer-lichon-do,,,,,
,Lyvie-Sara Sylvestre,Sarasota,Florida,Patient submitted ,,,United States,https://www.sarasotagynob.com/provider/lyvie-sara-sylvestre-md,,,,,
,Wayne A. Cohen,Sarasota,Florida,Patient submitted ,,,United States,https://www.sarasotagynob.com/provider/wayne-a-cohen-md-facog,,,,,
,Kelly J. Hamel,Sarasota,Florida,Patient submitted,"LGBTQIA+ friendly, and great with DV survivors",,United States,https://firstphysiciansgroup.com/doctors/hamel-kelly-j-md/,,,,,
,Melisha Baldwin,Sarasota ,Florida,Patient submitted ,,,United States,https://www.sarasotagynob.com/provider/melisha-baldwin-md-facog,,,,,
,Alexis Lipton,Seminole,Florida,Patient submitted,,,United States,http://aplaceforwomen.com/our-physicians/,,,,,
,Lauren Juyia,Spring Hill,Florida,Patient submitted ,,,United States,https://elite-wc.com/about-us/,,,,,
,Sarah Miller,St. Petersburg,Florida,Patient submitted,,,United States,https://www.womenscareobgyn.com/providers/sarah-miller-do,,,,,
,Carlos E. Reyes,St. Petersburg ,Florida,Patient submitted,,,United States,https://www.womenscareobgyn.com/providers/carlos-e-reyes-md,,,,,
,Kamila Malinowska,"St. Petersburg, Seminole, Clearwater ",Florida,,,,United States,https://www.gulfcoastobgynfl.com/,,,,,
,Sasha Siassipour,Stuart,Florida,Patient submitted,,,United States,https://ptwfl.com/profile/sasha-siassipour/,,,,,
,Allyson Kornfeld,Stuart & Port St. Lucie,Florida,,,,United States,https://whsfl.com/team-member/dr-allyson-kornfeld/,,,,,
,Amy Haddock,Tallahassee,Florida,Patient submitted,,,United States,https://www.tmh.org/provider/amy-haddock-md-obstetricsgynecology,,,,,
,Dorothy D White,Tallahassee,Florida,Patient submitted ,,,United States,https://www.tmh.org/provider/dorothy-white-md-obstetricsgynecology,,,,,
,Miles Byrd,Tallahassee,Florida,Patient submitted,,,United States,https://www.tmh.org/provider/miles-byrd-md-obstetricsgynecology,,,,,
,Ovidiu Popa,Tallahassee,Florida,Patient submitted,,,United States,https://capitalpremierwomenshealth.com/,,,,,
,Stephanie Lee,Tallahassee,Florida,Patient submitted,,,United States,https://www.elitetallahassee.com/providers,,,,,
,Alyssa Brown,Tampa,Florida,,,,United States,https://find-a-doctor.health.usf.edu/provider/Alyssa+Jakia+Brown/725673,,,,,
,Amy Brown,Tampa,Florida,Patient submitted,,,United States,https://health.usf.edu/medicine/obgyn/faculty/amyb3,,,,,
,Natasha Gooden,Tampa,Florida,Patient submitted ,,,United States,https://www.womenscareobgyn.com/providers/natasha-k-gooden-md,,,,,
,Robert Yelverton,Tampa,Florida,Patient submitted,,,United States,https://www.womenscareobgyn.com/providers/robert-yelverton-md,,,,,
,Anaisy Pargas,Tampa,Florida,,,,United States,https://www.getcare.health.usf.edu/providers/anaisy-pargas-1639638901,,,,,
,Anaisy Pargas,Tampa,Florida,,,,United States,https://find-a-doctor.health.usf.edu/provider/Anaisy+Pargas/2610303,,,,,
,Elizabeth Giangreco ,Tampa,Florida,Patient submitted,,,United States,https://www.womenscareobgyn.com/providers/elizabeth-giangreco-md,,,,,
YYYY-04-DD 22:04:SS,Cheryl Godcharles ,Tampa ,Florida,,,,United States,https://health.usf.edu/care/obgyn/providers,,,,,
,Tanya Taival,Titusville,Florida,Patient submitted,,,United States,https://www.parrishhealthcare.com/our-providers/tanya-itani-taival-do/,,,,,
,Daniel Sacks,West Palm Beach,Florida,Patient submitted ,,,United States,https://www.danielsacksmd.com/our-providers,,,,,
